anon_id,programme_school_name,gender
Sd97adc2d,School of Mathematics,M
S13b3132d,School of Mathematics,M
S659344b3,School of Mathematics,F
S6756b821,School of Physics and Astronomy,M
Sdbff5197,School of Informatics,M
Sd47f0cf0,School of Economics,M
Sb9947c30,School of Informatics,M
S62429db0,School of Informatics,M
S453cdb75,School of Informatics,M
S8a6b8903,Edinburgh College of Art,F
S2db58e2d,School of Informatics,M
S4a1400a8,School of Informatics,M
S0f55559e,School of Informatics,M
Se236005f,School of Mathematics,F
Sed3ce5df,School of Informatics,M
S0001d4fd,School of Economics,F
Sb3a2d8cb,School of Informatics,M
S68eaced0,School of Mathematics,M
S7cb5fb95,School of Economics,F
Sde09d923,School of Informatics,M
Scf1cad14,"School of Philosophy, Psychology and Language Sciences",M
S669942ce,School of Informatics,M
Sf2daffa6,School of Physics and Astronomy,F
S72cc2d3c,School of Biological Sciences,M
S9b6ac7e9,School of Informatics,M
Sa89532da,School of Mathematics,M
S36a05a61,School of Informatics,M
S2d2b0c17,School of Informatics,F
S27bf74e1,School of Informatics,M
S45008542,School of Informatics,F
S0a4b5f19,School of Informatics,M
Sb9a82207,School of Informatics,M
S7cf5ff1c,School of Economics,F
S9a31902a,School of Informatics,F
S903b1f47,School of Economics,M
S7543e57d,School of Informatics,M
See54d976,School of Informatics,F
S4ce8fbc0,School of Economics,F
S862134c0,School of Informatics,M
Sc6be8da8,School of Economics,M
S836b75b2,School of Informatics,M
S09e38569,School of Informatics,M
Saea375dc,School of Physics and Astronomy,F
S0c1f576a,School of Informatics,M
S8903b5aa,School of Economics,M
S8943c482,School of Mathematics,M
S49401797,School of Mathematics,M
S434a98fa,"School of Philosophy, Psychology and Language Sciences",M
S9d02e40c,School of Economics,F
Sc3889664,School of Informatics,M
Se5513f8c,School of Informatics,M
S8af5e07b,School of Physics and Astronomy,F
S00e3e73b,School of Informatics,F
Se2c07ce5,"School of Philosophy, Psychology and Language Sciences",F
S764352f5,School of Mathematics,F
Se8fc82a9,School of Economics,M
Se76890b2,School of Informatics,M
S2d21bde2,School of Mathematics,F
Sb6b663b9,School of Economics,M
Se1c0202f,School of Physics and Astronomy,M
S6e029186,School of Informatics,M
S4c369631,School of Informatics,M
S0cbd6025,School of Informatics,F
S7f9d5d56,School of Mathematics,M
S7f6bbf0f,School of Informatics,M
Sfae9aa54,School of Economics,F
S83836962,School of Informatics,F
S24a1d6a2,School of Informatics,M
Sa1bd3462,School of Mathematics,M
S9d0855f9,School of Informatics,M
Sebb6f5fc,"School of Philosophy, Psychology and Language Sciences",M
S1854c611,School of Informatics,M
Sf0a35411,School of Mathematics,F
Saea9c429,School of Mathematics,M
Sc642de04,School of Physics and Astronomy,M
Saba9aec4,School of Informatics,M
Sba625c40,School of Informatics,M
S4db34741,School of Economics,F
S56acbc1b,School of Mathematics,F
Se0db06c4,School of Economics,M
S9325bd04,School of Mathematics,F
S3f42e0b7,"School of Philosophy, Psychology and Language Sciences",F
Scc563103,School of Economics,F
Sd21d9ee0,School of Informatics,M
S1d0abdbe,School of Informatics,M
S2f58fd17,School of Mathematics,M
Sde7568df,School of Economics,M
S54231eb7,School of Physics and Astronomy,M
S8f3f36f8,School of Informatics,F
S11e2a9d1,School of Informatics,M
S0f4af220,School of Economics,F
Se7bd6020,School of Informatics,M
Scf89b24d,School of Informatics,F
S79f45225,School of Physics and Astronomy,M
S51c08048,School of Economics,M
S80f41937,School of Economics,M
S693a9381,School of Economics,F
Sb08b529e,School of Mathematics,F
Se1d543c5,School of Physics and Astronomy,F
Sbacbf66c,School of Informatics,F
S1d7de480,School of Mathematics,M
Sbfc1c636,School of Informatics,M
S308395cf,School of Informatics,M
S08d100bc,School of Physics and Astronomy,M
S463325bd,School of Informatics,M
Sb5d11650,School of Informatics,M
S12734bc0,School of Informatics,F
Sf5ce4d68,Business School,F
S8630f6a8,School of Informatics,M
S2b30a2ef,School of Informatics,M
S7e49d424,Moray House School of Education and Sport,M
S6fc25788,School of Informatics,M
Safdf9156,School of Informatics,M
S3c53e0f6,School of Informatics,F
S5e72e6ce,School of Mathematics,F
Sc0ef08cf,School of Economics,F
Sb633e7bf,School of Informatics,M
S1fe23631,School of Informatics,M
S3802876f,School of Informatics,M
Sd1ae370d,Business School,F
S624710a4,School of Informatics,M
Sc53bcb87,School of Physics and Astronomy,M
Sdaffefa3,School of Physics and Astronomy,M
S522c1471,School of Mathematics,F
Se1d17ca4,School of Informatics,F
Sff1a3117,School of Economics,F
S9893db78,School of Economics,F
S039af2b8,School of Economics,F
Scccda0ce,School of Economics,M
S46455015,School of Informatics,F
S30b1db8f,School of Informatics,F
S47bcdbdb,School of Informatics,M
Sfb15326d,School of Informatics,F
Saa4b2336,School of Informatics,M
S3442601b,School of Physics and Astronomy,M
Se040e2a8,School of Biological Sciences,M
S8ff07223,School of Economics,F
S1b276267,School of Mathematics,F
Sb391cfbc,School of Economics,F
Sde7abf7c,School of Economics,F
Sedc53b67,School of Economics,F
S8f923d56,School of Informatics,M
S22ae4287,Business School,F
Sb085dc0a,School of Economics,M
S9d6fe239,School of Informatics,M
S57ac778e,School of Informatics,F
Se16d5e20,Business School,F
S5d501aba,School of Informatics,M
S61af50be,School of Informatics,F
Se42d45e5,School of Informatics,M
S8dff477e,School of Informatics,M
S0d7d4d69,School of Informatics,M
S1cf6cec5,School of Informatics,M
Sf9c41f60,School of Informatics,M
S1e7919c8,School of Economics,F
S0032b62b,Business School,F
S4b361e22,School of Mathematics,M
S01e3590f,School of Informatics,M
S6c0829cf,School of Informatics,M
S7883c08e,School of Mathematics,F
Se68a83a3,School of Economics,F
Sed26bad4,School of Physics and Astronomy,F
Sf3edf767,School of Informatics,M
Sf6dbecab,School of Informatics,F
Sf3d1dcf1,School of Informatics,F
Sa29b82d6,School of Informatics,M
S77e069fb,School of Mathematics,M
S2cb4f7cd,School of Informatics,M
S7ab18772,School of Informatics,M
S57853ff2,School of Economics,F
Sf5391d44,School of Informatics,F
S35f0079e,Edinburgh College of Art,F
S6124c4cf,School of Economics,M
S6bc6bc30,Moray House School of Education and Sport,M
S3a98ad6b,School of Economics,M
Sb1294506,School of Mathematics,M
S89334802,School of Informatics,M
S12cc839b,School of Physics and Astronomy,M
S7fb35e77,School of Mathematics,F
Sebeef6d4,School of Mathematics,M
S052f23d2,"School of Philosophy, Psychology and Language Sciences",F
